fragment_id,document_id,slot,page,source_locator,locator_evidence_url,boundary_definition,transcription_status,access_basis,public_text_status,selection_role,freeze_status,preparation_note,checked_at
PDHD-F000013,PDHD-D000002,A,1,p1-col3-pestalozzi-first-school-paragraph,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a32fd7d1ed64f168e3546.pdf?palabras=,"Right column: the paragraph describing Pestalozzi's first school, from its paragraph opening after the preceding continuation through the sentence immediately before the next biographical paragraph",not_transcribed,HNDM_public_interface_manual_inspection,metadata_only,explicit_pedagogical_act,frozen,"Exact structural boundary verified visually against the HNDM page image; coder text must remain outside the public repository unless a stronger reuse basis is documented",2026-09-04
PDHD-F000014,PDHD-D000002,B,1,p1-col1-editorial-roster,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a32fd7d1ed64f168e3546.pdf?palabras=,"Left column: from the REDACTORES heading through the final collaborator name immediately before the Enrique Pestalozzi article heading",not_transcribed,HNDM_public_interface_manual_inspection,metadata_only,institutional_relation,frozen,"Professional roster selected as an institutional/professional-network span; exact structural boundary verified visually and no source text is committed",2026-09-04
PDHD-F000015,PDHD-D000002,C,1,p1-col2-objective-method-context,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a32fd7d1ed64f168e3546.pdf?palabras=,"Central column: from the first complete continuation sentence discussing the spread of the teaching method through the sentence immediately before the paragraph beginning Pestalozzi's biographical birth information",not_transcribed,HNDM_public_interface_manual_inspection,metadata_only,source_criticism_salient,frozen,"Historically salient methodological-context span; exact structural boundary verified visually against the HNDM page image",2026-09-04
PDHD-F000016,PDHD-D000002,D,1,p1-masthead-subscription-publication-block,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a32fd7d1ed64f168e3546.pdf?palabras=,"Masthead block below the issue date containing subscription/publication-administration information, ending above the editorial roster",not_transcribed,HNDM_public_interface_manual_inspection,metadata_only,control,frozen,"Administrative control span intentionally selected to permit absence or uncertainty in pedagogical coding; exact structural boundary verified visually",2026-09-04
PDHD-F000057,PDHD-D000066,A,125,p125-cursos-rapidos-practicas-ensenanza,https://books.google.com/books?id=O2oLAQAAIAAJ&pg=PA125,"Printed p. 125: subsection 3º on proposed Cursos Rápidos de Orientación Vocacional, from the subsection opening through the end of the paragraph prescribing selection of primary pupils for an additional year of initiation into teaching practice under teachers' immediate direction and supervision; stop before the paragraph evaluating the implementation status of the measure.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,explicit_pedagogical_act,frozen,"The live Google Books PDF for volume I was recovered through the public selected-page interface and rendered for primary review. Printed p. 125 maps to physical PDF page 211. Visual inspection fixes a discrete teacher-preparation prescription centered on supervised initiation into teaching practice; no historical transcription or source image is committed.",2026-09-06
PDHD-F000058,PDHD-D000066,B,18,p18-inspector-visit-supervision-record,https://books.google.com/books?id=O2oLAQAAIAAJ&pg=PA18,"Printed p. 18: the sentence block beginning with the result of the inspector's visit and ending with the improvements initiated and advantages obtained from that visit; exclude the preceding continuation about school organizations and the following paragraph of aggregate primary-school attendance.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,institutional_relation,frozen,"Primary PDF image inspection maps printed p. 18 to physical PDF page 104. The bounded span records the inspector's supervisory documentation of classes, talks, assemblies, locally acquired materials and improvements associated with the visit, making the authority/supervision relation explicit without reproducing source text.",2026-09-06
PDHD-F000059,PDHD-D000066,C,104,p104-indigenous-school-statistical-table,https://books.google.com/books?id=O2oLAQAAIAAJ&pg=PA104,"Printed p. 104: complete Tabla núm. 5, from the table title and descriptive heading through the state rows, totals and departmental signature; exclude surrounding blank margins and the Google digitization watermark.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,source_criticism_salient,frozen,"Primary PDF image inspection maps printed p. 104 to physical PDF page 190. The table is retained as a source-critical unit because the Department administratively quantifies schools, teachers and mean attendance in places it categorizes as Indigenous, exposing both the evidentiary value and the historical classification logic of the official memory. No table transcription or image is committed.",2026-09-06
PDHD-F000060,PDHD-D000066,D,PR5,pr5-title-page-bibliographic-control,https://books.google.com/books?cad=1&id=O2oLAQAAIAAJ&pg=PR5&source=gbs_selected_pages,"Title-page bibliographic core from the main title through the Tomo I and Publicaciones de la Secretaría de Educación Pública lines; exclude handwritten/library annotations and the Google digitization watermark.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,control,frozen,"Google Books PR5 selected-page HTML exposed the live public PDF link. The retrieved PDF was rendered for source review; Google Books maps PR5 to book order 6 and the rendered PDF sequence places that leaf at image 009. Visual inspection confirms the volume-I title page and fixes only the bibliographic/institutional front-matter region as a non-analytical control. No source image or historical transcription is committed.",2026-09-05
PDHD-F000077,PDHD-D000071,A,24,p24-jefes-mision-preparacion-profesional-demostracion,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PA26,"Printed p. 24: under 4. Bases de trabajo para cada Maestro Misionero > Jefes de Misión > 1º Las finalidades, item b) only, from the opening professional-improvement instruction through the sentence ending with the demonstration classes; exclude items a) and c).",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,explicit_pedagogical_act,frozen,"The public Google Books page HTML exposed a live PDF of the complete 1933 volume. Its page index maps PA26 to order 37; the recovered PDF maps that order to physical page 38, whose printed folio is p. 24. Direct visual inspection corrects the earlier Google popular-passage label p. 22 and fixes a discrete teacher-improvement prescription. No source text or image is committed.",2026-09-06
PDHD-F000078,PDHD-D000071,B,23,p23-consejo-consultivo-jefe-mision-authority,https://books.google.com/books?id=WzwXAAAAIAAJ&pg=PA25,"Printed p. 23: section 2. De los miembros del Consejo Consultivo, subsection Jefe de Misión, items I-III in full; stop immediately before Inspector de la zona.",not_transcribed,Google_Books_direct_primary_pdf_image_inspection,metadata_only,institutional_relation,frozen,"Google Books PA25 maps to order 36 and physical PDF page 37, whose printed folio is p. 23. Direct visual inspection fixes the Jefe de Misión hierarchy block as the slot-B authority/organizational unit, replacing the weaker earlier snippet candidate. No source text or image is committed.",2026-09-06
