document_id,source_id,title,author,publication,publication_date,volume,issue,page_start,page_end,place,publisher,source_url,source_identifier,accessed_at,rights_status,document_type,period,notes
PDHD-D000001,HNDM,La Enseñanza Objetiva,,La Enseñanza Objetiva,1891-12-12,XIII,49,,,Ciudad de México,,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a33397d1ed64f16922c93.pdf?palabras=,HNDM:558a33397d1ed64f16922c93,2026-09-03,metadata_only,issue,1870-1940,"Tomo XIII, núm. 49; issue contains a model lesson of explained reading and is selected for later pedagogical-act sampling"
PDHD-D000002,HNDM,El Escolar Mexicano,,El Escolar Mexicano,1888-09-02,Año 1,11,,,México,,https://hndm.iib.unam.mx/consulta/publicacion/pdf/558a32fd7d1ed64f168e3546.pdf?palabras=,HNDM:558a32fd7d1ed64f168e3546,2026-09-03,metadata_only,issue,1870-1940,Issue explicitly addresses children and primary-school teachers; useful for objective teaching and pedagogical culture
PDHD-D000003,UNAM-RI,La Enseñanza primaria,,La Enseñanza primaria,1901-12-01,,,,,México,Tipografía de El Siglo XIX,https://repositorio.unam.mx/contenidos/ficha/la-ensenanza-primaria-746481,UNAM-RI:746481,2026-09-03,review_required,issue,1870-1940,Object-level UNAM repository record; educational-primary theme
PDHD-D000004,UNAM-RI,La Enseñanza primaria,,La Enseñanza primaria,1908-05-01,,,,,México,,https://repositorio.unam.mx/contenidos/ficha/la-ensenanza-primaria-746576,UNAM-RI:746576,2026-09-03,review_required,issue,1870-1940,Object-level UNAM repository record
PDHD-D000005,UNAM-RI,La Enseñanza primaria,,La Enseñanza primaria,1909-07-15,,,,,México,,https://repositorio.unam.mx/contenidos/ficha/la-ensenanza-primaria-746583,UNAM-RI:746583,2026-09-03,review_required,issue,1870-1940,Object-level UNAM repository record
PDHD-D000006,HNDM,Revista de la Instrucción Pública Mexicana,,Revista de la Instrucción Pública Mexicana,1896-03-15,,,,,México,,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a411,HNDM:558075bf7d1e63c9fea1a411:1896-03-15,2026-09-03,metadata_only,issue,1870-1940,Issue date verified in HNDM publication interface; page-level identifier to be resolved before annotation
PDHD-D000007,HNDM,Revista de la Instrucción Pública Mexicana,,Revista de la Instrucción Pública Mexicana,1896-06-15,,,,,México,,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a411?pagina=558a330d7d1ed64f168f553f,HNDM:558a330d7d1ed64f168f553f,2026-09-03,metadata_only,issue,1870-1940,Concrete HNDM issue localizer
PDHD-D000008,HNDM,Revista de la Instrucción Pública Mexicana,,Revista de la Instrucción Pública Mexicana,1897-08-15,,,,,México,,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a411?pagina=558a33117d1ed64f168f9c5f,HNDM:558a33117d1ed64f168f9c5f,2026-09-03,metadata_only,issue,1870-1940,Concrete HNDM issue localizer
PDHD-D000009,HNDM,Revista de la Instrucción Pública Mexicana,,Revista de la Instrucción Pública Mexicana,1898-04-15,,,,,México,,https://hndm.iib.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a411?pagina=558a33137d1ed64f168fbf4a,HNDM:558a33137d1ed64f168fbf4a,2026-09-03,metadata_only,issue,1870-1940,Concrete HNDM issue localizer
PDHD-D000010,HNDM,Revista Mexicana de Educación,,Revista Mexicana de Educación,1920-03-15,,,,,México,,https://www.hndm.unam.mx/consulta/publicacion/visualizar/558075bf7d1e63c9fea1a41c?coleccion=&pagina=558a32ef7d1ed64f168d2f66,HNDM:558a32ef7d1ed64f168d2f66,2026-09-03,metadata_only,issue,1870-1940,Concrete HNDM issue localizer; useful bridge into postrevolutionary pedagogical discourse
PDHD-D000011,BVM-CERVANTES,La Enseñanza Normal,,La Enseñanza Normal,1904-09-15,Año I,1,,,México,Imprenta Universal de Smith,https://www.cervantesvirtual.com/portales/biblioteca_francisco_de_burgoa/partes/1233480/la-ensenanza-normal-publicacion-periodica-de-la-direccion-general-de-la-ensenanza-normal-en-el-distrito-federal-1233480,BVM:1233480:A1-N1:1904-09-15,2026-09-03,review_required,issue,1870-1940,Issue date taken from the Cervantes Virtual parts listing; collection-level record contains a conflicting summary start date and is preserved as a catalog inconsistency
PDHD-D000012,BVM-CERVANTES,La Enseñanza Normal,,La Enseñanza Normal,1904-10-22,Año I,2,,,México,Imprenta Universal de Smith,https://www.cervantesvirtual.com/portales/biblioteca_francisco_de_burgoa/partes/1233480/la-ensenanza-normal-publicacion-periodica-de-la-direccion-general-de-la-ensenanza-normal-en-el-distrito-federal-1233480,BVM:1233480:A1-N2:1904-10-22,2026-09-03,review_required,issue,1870-1940,Concrete issue listed by Cervantes Virtual
PDHD-D000013,BVM-CERVANTES,La Enseñanza Normal,,La Enseñanza Normal,1904-11-08,Año I,3,,,México,Imprenta Universal de Smith,https://www.cervantesvirtual.com/portales/biblioteca_francisco_de_burgoa/partes/1233480/la-ensenanza-normal-publicacion-periodica-de-la-direccion-general-de-la-ensenanza-normal-en-el-distrito-federal-1233480,BVM:1233480:A1-N3:1904-11-08,2026-09-03,review_required,issue,1870-1940,Concrete issue listed by Cervantes Virtual
