document_id,source_id,title,author,publication,publication_date,volume,issue,page_start,page_end,place,publisher,source_url,source_identifier,accessed_at,rights_status,document_type,period,era_code,notes
PDHD-D000051,INTERNET-ARCHIVE,El Maestro,,El Maestro. Revista de Cultura Nacional,1921,I,2,,,México,Universidad Nacional de México,https://archive.org/details/n1n3elmaestrorevista01mexi/page/n103,IA:n1n3elmaestrorevista01mexi:I:2,2026-09-03,review_required,issue,1921-1934,E3,Issue number and year verified through Signos Históricos; exact day not asserted
PDHD-D000052,INTERNET-ARCHIVE,El Maestro,,El Maestro. Revista de Cultura Nacional,1921,I,4,,,México,Universidad Nacional de México,https://archive.org/details/elmaestrorevista146mexi/page/n6,IA:elmaestrorevista146mexi:I:4,2026-09-03,review_required,issue,1921-1934,E3,Issue number and year verified through Signos Históricos; exact day not asserted
PDHD-D000053,INTERNET-ARCHIVE,El Maestro,,El Maestro. Revista de Cultura Nacional,1922,II,3,,,México,Secretaría de Educación Pública,https://archive.org/details/n1n3elmaestrorev02mexi/page/1,IA:n1n3elmaestrorev02mexi:II:3,2026-09-03,review_required,issue,1921-1934,E3,Issue identified as tomo II núm. 3 in a scholarly electronic-source list; exact day not asserted
PDHD-D000054,INTERNET-ARCHIVE,El Maestro,,El Maestro. Revista de Cultura Nacional,1922,III,1,,,México,Secretaría de Educación Pública,https://archive.org/details/n1n2elmaestrorevista03mexi/page/n6,IA:n1n2elmaestrorevista03mexi:III:1,2026-09-03,review_required,issue,1921-1934,E3,Issue identified as tomo III núm. 1 in a scholarly electronic-source list; exact day not asserted
PDHD-D000055,INTERNET-ARCHIVE,El Maestro,,El Maestro. Revista de Cultura Nacional,1921-04,I,1,,,México,Universidad Nacional de México,https://archive.org/details/n1n3elmaestrorevista01mexi,IA:n1n3elmaestrorevista01mexi:I:1,2026-09-03,review_required,issue,1921-1934,E3,"Canonical date intentionally month-precision only: Bibliographica cites 1 April 1921 while a later facsimile bibliography reports 19 April 1921; conflict registered separately"
PDHD-D000056,INTERNET-ARCHIVE,El Maestro,,El Maestro. Revista de Cultura Nacional,1921-10,II,1,,,México,Universidad Nacional de México,https://archive.org/details/n1n3elmaestrorev02mexi,IA:n1n3elmaestrorev02mexi:II:1,2026-09-03,review_required,issue,1921-1934,E3,Month verified from citation to Gabriela Mistral in tomo II núm. 1; exact day not asserted
PDHD-D000057,INTERNET-ARCHIVE,El Maestro,,El Maestro. Revista de Cultura Nacional,1921-11,II,2,,,México,Universidad Nacional de México,https://archive.org/details/n1n3elmaestrorev02mexi,IA:n1n3elmaestrorev02mexi:II:2,2026-09-03,review_required,issue,1921-1934,E3,Month verified from bibliographic citation to tomo II núm. 2; exact day not asserted
PDHD-D000058,UNAM-RI,La Escuela moderna,,La Escuela moderna,1889-10-31,,,,,México,Imprenta de las Escalerillas,https://repositorio.unam.mx/contenidos/la-escuela-moderna-924534,UNAM-RI:924534,2026-09-03,review_required,issue,1870-1910,E1,Direct object-level UNAM repository record; useful for pre-1900 pedagogical press balancing
PDHD-D000059,UNAM-RI,La Escuela moderna,,La Escuela moderna,1890-10-31,,,,,México,,https://repositorio.unam.mx/contenidos/la-escuela-moderna-924553,UNAM-RI:924553,2026-09-03,review_required,issue,1870-1910,E1,Direct object-level UNAM repository record
PDHD-D000060,UNAM-RI,La Escuela moderna,,La Escuela moderna,1890-11-30,,,,,México,,https://www.ri.unam.mx/contenidos/ficha/la-escuela-moderna-924558?as=0&c=BLVxQe&d=false&i=2&q=%2A%3A%2A&t=search_0&v=1,UNAM-RI:924558,2026-09-03,review_required,issue,1870-1910,E1,Direct object-level UNAM repository record
PDHD-D000061,UNAM-RI,La Escuela moderna,,La Escuela moderna,1890-12-31,,,,,México,,https://repositorio.unam.mx/contenidos/la-escuela-moderna-924560,UNAM-RI:924560,2026-09-03,review_required,issue,1870-1910,E1,Direct object-level UNAM repository record
PDHD-D000062,UNAM-RI,La Escuela moderna,,La Escuela moderna,1891-09-15,,,,,México,,https://repositorio.unam.mx/contenidos/ficha/la-escuela-moderna-924576?as=0&c=O30qre&d=false&i=3&q=%2A%3A%2A&t=search_0&v=1,UNAM-RI:924576,2026-09-03,review_required,issue,1870-1910,E1,Direct object-level UNAM repository record
PDHD-D000063,UNAM-RI,México intelectual,,México intelectual,1889-01-01,,,,,"Xalapa, Veracruz",Imprenta del Gobierno del Estado,https://repositorio.unam.mx/contenidos/ficha/mexico-intelectual-897145,UNAM-RI:897145,2026-09-03,review_required,hemerographic_object,1870-1910,E1,"Direct UNAM repository object; metadata assigns CC BY-NC-ND 4.0 to the digital resource. Public PDHD stores metadata/link only pending a rights-specific reuse policy. Regional provenance supported by the journal's documented Xalapa publication history"
PDHD-D000064,UNAM-RI,El Instructor,,El Instructor,1889-01-01,,,,,"Aguascalientes, Aguascalientes",Imp. de Trinidad Pedroza,https://repositorio.unam.mx/contenidos/ficha/el-instructor-750865,UNAM-RI:750865,2026-09-03,review_required,hemerographic_object,1870-1910,E1,"Direct UNAM repository object; topic Educación and CC BY-NC-ND 4.0 metadata. Place follows the established serial provenance of El Instructor"
PDHD-D000065,UNAM-RI,El Periquito,,El Periquito,1870-11-06,,,,,"Campeche, Campeche",,https://repositorio.unam.mx/contenidos/ficha/el-periquito-921573,UNAM-RI:921573,2026-09-03,review_required,issue,1870-1910,E1,"Direct UNAM repository object identifies a semanario dated 6 November 1870 in Campeche; CC BY-NC-ND 4.0 applies to the digital resource, so PDHD retains metadata/link only pending a specific reuse decision"
